sim_time_s,flight_time_s,sf,airtime_ms,tx_bytes,seq,x,y,z,payload_json,dist,rx_time_s,delivered
1.737,0,7,56,78,1,0,0,0,"{""s"":1,""t"":[0,0,0,539,0],""p"":[0,0,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",0.0,1.666,True
2.235,1,7,56,80,2,30,0,0,"{""s"":2,""t"":[0,0,1,39,500],""p"":[30,0,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",30.0,2.167,True
2.7359999999999998,1,7,56,81,3,30,0,0,"{""s"":3,""t"":[0,0,1,539,500],""p"":[30,0,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",30.0,2.663,True
3.235,2,7,56,80,4,30,0,0,"{""s"":4,""t"":[0,0,2,39,500],""p"":[30,0,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",30.0,3.167,True
3.7359999999999998,2,7,56,81,5,30,0,0,"{""s"":5,""t"":[0,0,2,539,500],""p"":[30,0,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",30.0,3.663,True
4.235,3,7,56,80,6,30,0,0,"{""s"":6,""t"":[0,0,3,39,500],""p"":[30,0,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",30.0,4.167,True
4.736,3,7,56,81,7,30,0,0,"{""s"":7,""t"":[0,0,3,539,500],""p"":[30,0,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",30.0,4.663,True
5.235,4,7,56,80,8,30,0,0,"{""s"":8,""t"":[0,0,4,39,500],""p"":[30,0,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",30.0,5.167,True
5.736,4,7,56,81,9,30,0,0,"{""s"":9,""t"":[0,0,4,539,500],""p"":[30,0,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",30.0,5.663,True
6.239,5,7,56,83,10,30,108,0,"{""s"":10,""t"":[0,0,5,39,500],""p"":[30,108,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",112.08925015361643,6.165,True
6.736,5,7,56,84,11,30,270,0,"{""s"":11,""t"":[0,0,5,539,500],""p"":[30,270,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",271.6615541441225,6.666,True
7.234,6,7,56,83,12,30,378,0,"{""s"":12,""t"":[0,0,6,39,500],""p"":[30,378,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",379.18860742379906,7.165,True
7.736,6,7,56,84,13,30,540,0,"{""s"":13,""t"":[0,0,6,539,500],""p"":[30,540,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",540.8326913195984,7.666,True
8.239,7,7,56,83,14,30,648,0,"{""s"":14,""t"":[0,0,7,39,500],""p"":[30,648,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",648.6940727338273,8.165,True
8.736,7,7,56,84,15,30,810,0,"{""s"":15,""t"":[0,0,7,539,500],""p"":[30,810,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",810.5553651663778,8.666,True
9.239,8,7,56,83,16,30,918,0,"{""s"":16,""t"":[0,0,8,39,500],""p"":[30,918,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",918.4900652701693,9.165,True
9.736,8,7,56,85,17,30,1080,0,"{""s"":17,""t"":[0,0,8,539,500],""p"":[30,1080,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",1080.4165863221465,9.666,True
10.236,9,7,56,84,18,30,1188,0,"{""s"":18,""t"":[0,0,9,39,500],""p"":[30,1188,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",1188.3787275107209,10.166,True
10.736,9,7,56,85,19,30,1350,0,"{""s"":19,""t"":[0,0,9,539,500],""p"":[30,1350,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",1350.3332921912279,10.666,True
11.237,10,8,103,85,20,30,1458,0,"{""s"":20,""t"":[0,0,10,39,500],""p"":[30,1458,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",1458.3086093142288,11.166,True
11.738,10,8,103,86,21,30,1620,0,"{""s"":21,""t"":[0,0,10,539,500],""p"":[30,1620,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",1620.2777539668932,11.667,True
12.237,11,8,103,85,22,30,1728,0,"{""s"":22,""t"":[0,0,11,39,500],""p"":[30,1728,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",1728.260397046695,12.166,True
12.738,11,8,103,86,23,30,1890,0,"{""s"":23,""t"":[0,0,11,539,500],""p"":[30,1890,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",1890.2380802428038,12.667,True
13.237,12,8,103,85,24,30,1998,0,"{""s"":24,""t"":[0,0,12,39,500],""p"":[30,1998,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",1998.2252125323612,13.166,True
13.738,12,8,103,86,25,30,2160,0,"{""s"":25,""t"":[0,0,12,539,500],""p"":[30,2160,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",2160.208323287363,13.667,True
14.237,13,8,103,85,26,30,2268,0,"{""s"":26,""t"":[0,0,13,39,500],""p"":[30,2268,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",2268.198404020248,14.166,True
14.738,13,8,103,86,27,30,2430,0,"{""s"":27,""t"":[0,0,13,539,500],""p"":[30,2430,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",2430.1851781294363,14.667,True
15.237,14,8,103,85,28,30,2538,0,"{""s"":28,""t"":[0,0,14,39,500],""p"":[30,2538,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",2538.1772987716995,15.166,True
15.738,14,8,103,86,29,30,2700,0,"{""s"":29,""t"":[0,0,14,539,500],""p"":[30,2700,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",2700.1666615229515,15.667,True
16.237,15,8,103,85,30,30,2808,0,"{""s"":30,""t"":[0,0,15,39,500],""p"":[30,2808,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",2808.1602518374907,16.166,True
16.738,15,8,103,86,31,30,2970,0,"{""s"":31,""t"":[0,0,15,539,500],""p"":[30,2970,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",2970.1515112869242,16.667,True
17.237,16,8,103,85,32,30,3078,0,"{""s"":32,""t"":[0,0,16,39,500],""p"":[30,3078,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",3078.1461953584985,17.166,True
17.738,16,8,103,86,33,30,3240,0,"{""s"":33,""t"":[0,0,16,539,500],""p"":[30,3240,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",3240.1388859121457,17.667,True
18.237,17,8,103,85,34,30,3348,0,"{""s"":34,""t"":[0,0,17,39,500],""p"":[30,3348,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",3348.134405904279,18.166,True
18.738,17,8,103,86,35,30,3510,0,"{""s"":35,""t"":[0,0,17,539,500],""p"":[30,3510,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",3510.128202786901,18.667,True
19.237,18,8,103,85,36,30,3618,0,"{""s"":36,""t"":[0,0,18,39,500],""p"":[30,3618,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",3618.1243759716167,19.166,True
19.738,18,8,103,86,37,30,3780,0,"{""s"":37,""t"":[0,0,18,539,500],""p"":[30,3780,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",3780.119045744459,19.667,True
20.237,19,8,103,85,38,30,3888,0,"{""s"":38,""t"":[0,0,19,39,500],""p"":[30,3888,0],""a"":[10,20,980],""g"":[0,0,0],""e"":[100,25]}",3888.1157390180656,20.166,True
